# id	file_path	transparent_color_r	g	b
[TEXTURES]
101	textures\CarAndMainRight.png	255	255	255
100	textures\CarAndMainLeft.png	255	255	255
4	textures\map1.png	0	0	0
50	textures\enemies3.png	255	255	255
5	textures\jason.jpeg	255	255	255
6	textures\items.png	255	255	255

# id	left	top	right	bottom	texture_id
[SPRITES]
#Bullet
2000114	1000114	100
2000115	1000115	100
2000116	1000116	100
2000117	1000117	100
2000118	1000118	100
2000119	1000119	100
2000120	1000120	100
2000121	1000121	100
2000122	1000122	100
2000123	1000123	100
2000124	1000124	100
2000125	1000125	100
2000126	1000126	100
2000127	1000127	100
2000128	1000128	100
2000129	1000129	100
2000130	1000130	100
2000131	1000131	100
2000132	1000132	100
2000133	1000133	100
2000134	1000134	100
2000135	1000135	100
2000136	1000136	100
2000137	1000137	100
2000138	1000138	100
2000139	1000139	100
2000140	1000140	100
2000141	1000141	100
2000142	1000142	100
2000143	1000143	100
2000144	1000144	100
2000145	1000145	100
2000146	1000146	100
2000147	1000147	100
2000148	1000148	100
2000149	1000149	100
2000150	1000150	100
2000151	1000151	100
2000152	1000152	100
2000153	1000153	100
2000154	1000154	100
2000155	1000155	100
2000156	1000156	100
2000157	1000157	100
2000158	1000158	100
2000159	1000159	100
2000160	1000160	100
2000161	1000161	100
2000162	1000162	100
2000163	1000163	100
2000164	1000164	100
2000165	1000165	100
2000166	1000166	100
[ANIMATION_SETS]
#Enemy1
9200	9100	9101
#Bullet
143	133	134
#BG
4	10
#main
0	70	71	72	73
#gun
1	20	21	22
#wheel
2	50	301	401
#connector
3	60
#portal
301107	201107
# BRICK 
3000000	2000000
3000001	2000001
3000002	2000002
3000003	2000003
3000004	2000004
3000005	2000005
3000006	2000006
3000007	2000007
3000008	2000008
3000009	2000009
3000010	2000010
3000011	2000011
3000012	2000012
3000013	2000013
3000014	2000014
3000015	2000015
3000016	2000016
3000017	2000017
3000018	2000018
3000019	2000019
3000020	2000020
3000021	2000021
3000022	2000022
3000023	2000023
3000024	2000024
3000025	2000025
3000026	2000026
3000027	2000027
3000028	2000028
3000029	2000029
3000030	2000030
3000031	2000031
3000032	2000032
3000033	2000033
3000034	2000034
3000035	2000035
3000036	2000036
3000037	2000037
3000038	2000038
3000039	2000039
3000040	2000040
3000041	2000041
3000042	2000042
3000043	2000043
3000044	2000044
3000045	2000045
3000046	2000046
3000047	2000047
3000048	2000048
3000049	2000049
3000050	2000050
3000051	2000051
3000052	2000052
3000053	2000053
3000054	2000054
3000055	2000055
3000056	2000056
3000057	2000057
3000058	2000058
3000059	2000059
3000060	2000060
3000061	2000061
3000062	2000062
3000063	2000063
3000064	2000064
3000065	2000065
3000066	2000066
3000067	2000067
3000068	2000068
3000069	2000069
3000070	2000070
3000071	2000071
3000072	2000072
3000073	2000073
3000074	2000074
3000075	2000075
3000076	2000076
3000077	2000077
3000078	2000078
3000079	2000079
3000080	2000080
3000081	2000081
3000082	2000082
3000083	2000083
3000084	2000084
3000085	2000085
3000086	2000086
3000087	2000087
3000088	2000088
3000089	2000089
3000090	2000090
3000091	2000091
3000092	2000092
3000093	2000093
3000094	2000094
3000095	2000095
3000096	2000096
3000097	2000097
3000098	2000098
3000099	2000099
3000100	2000100
3000101	2000101
3000102	2000102
3000103	2000103
3000104	2000104
3000105	2000105
3000106	2000106
3000107	2000107
3000108	2000108
3000109	2000109
3000110	2000110
3000111	2000111
3000112	2000112
3000113	2000113
3000114	2000114
3000115	2000115
3000116	2000116
3000117	2000117
3000118	2000118
3000119	2000119
3000120	2000120
3000121	2000121
3000122	2000122
3000123	2000123
3000124	2000124
3000125	2000125
3000126	2000126
3000127	2000127
3000128	2000128
3000129	2000129
3000130	2000130
3000131	2000131
3000132	2000132
3000133	2000133
3000134	2000134
3000135	2000135
3000136	2000136
3000137	2000137
3000138	2000138
3000139	2000139
3000140	2000140
3000141	2000141
3000142	2000142
3000143	2000143
3000144	2000144
3000145	2000145
3000146	2000146
3000147	2000147
3000148	2000148
3000149	2000149
3000150	2000150
3000151	2000151
3000152	2000152
3000153	2000153
3000154	2000154
3000155	2000155
3000156	2000156
3000157	2000157
3000158	2000158
3000159	2000159
3000160	2000160
3000161	2000161
3000162	2000162
3000163	2000163
3000164	2000164
3000165	2000165
3000166	2000166


[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
#mainobject			
0	50	300	0
#gun			
2	185	376	1
#connector			
3	0	436	3
#wheel			
4	0	486	2
#bullet
21	0	0	143
# BRICK 
1	0	0	3000005
1	8	0	3000009
1	16	0	3000013
1	24	0	3000017
1	32	0	3000021
1	40	0	3000025
1	48	0	3000029
1	56	0	3000046
1	64	0	3000050
1	72	0	3000054
1	80	0	3000058
1	88	0	3000074
1	96	0	3000082
1	96	8	3000081
1	96	16	3000080
1	96	24	3000079
1	96	32	3000078
1	104	32	3000086
1	112	32	3000090
1	120	32	3000098
1	128	32	3000110
1	0	40	3000004
1	8	40	3000008
1	16	40	3000012
1	24	40	3000016
1	32	40	3000020
1	40	40	3000024
1	48	40	3000028
1	56	40	3000045
1	128	40	3000109
1	56	48	3000044
1	128	48	3000108
1	56	56	3000043
1	128	56	3000107
1	56	64	3000042
1	128	64	3000106
1	136	64	3000114
1	144	64	3000118
1	152	64	3000124
1	160	64	3000138
1	168	64	3000142
1	176	64	3000146
1	184	64	3000150
1	192	64	3000166
1	56	72	3000041
1	56	80	3000040
1	56	88	3000039
1	56	96	3000038
1	56	104	3000037
1	64	104	3000049
1	72	104	3000053
1	80	104	3000057
1	88	104	3000073
1	160	104	3000137
1	168	104	3000141
1	176	104	3000145
1	184	104	3000149
1	192	104	3000165
1	88	112	3000072
1	160	112	3000136
1	88	120	3000071
1	160	120	3000135
1	88	128	3000070
1	160	128	3000134
1	168	128	3000140
1	176	128	3000144
1	184	128	3000148
1	192	128	3000164
1	88	136	3000069
1	192	136	3000163
1	88	144	3000068
1	192	144	3000162
1	88	152	3000067
1	192	152	3000161
1	88	160	3000066
1	192	160	3000160
1	88	168	3000065
1	96	168	3000077
1	104	168	3000085
1	112	168	3000089
1	120	168	3000097
1	128	168	3000105
1	136	168	3000113
1	144	168	3000117
1	152	168	3000123
1	192	168	3000159
1	152	176	3000122
1	192	176	3000158
1	152	184	3000121
1	192	184	3000157
1	120	192	3000096
1	128	192	3000104
1	136	192	3000112
1	144	192	3000116
1	152	192	3000120
1	192	192	3000156
1	120	200	3000095
1	192	200	3000155
1	120	208	3000094
1	192	208	3000154
1	120	216	3000093
1	192	216	3000153
1	88	224	3000064
1	96	224	3000076
1	104	224	3000084
1	112	224	3000088
1	120	224	3000092
1	192	224	3000152
1	88	232	3000063
1	160	232	3000133
1	168	232	3000139
1	176	232	3000143
1	184	232	3000147
1	192	232	3000151
1	88	240	3000062
1	160	240	3000132
1	88	248	3000061
1	160	248	3000131
1	8	256	3000007
1	16	256	3000011
1	24	256	3000015
1	32	256	3000019
1	40	256	3000023
1	48	256	3000027
1	56	256	3000036
1	64	256	3000048
1	72	256	3000052
1	80	256	3000056
1	88	256	3000060
1	160	256	3000130
1	0	264	3000003
1	160	264	3000129
1	0	272	3000002
1	160	272	3000128
1	0	280	3000001
1	160	280	3000127
1	0	288	3000000
1	8	288	3000006
1	16	288	3000010
1	24	288	3000014
1	32	288	3000018
1	40	288	3000022
1	48	288	3000026
1	56	288	3000035
1	160	288	3000126
1	56	296	3000034
1	128	296	3000103
1	136	296	3000111
1	144	296	3000115
1	152	296	3000119
1	160	296	3000125
1	56	304	3000033
1	128	304	3000102
1	56	312	3000032
1	128	312	3000101
1	56	320	3000031
1	128	320	3000100
1	56	328	3000030
1	64	328	3000047
1	72	328	3000051
1	80	328	3000055
1	88	328	3000059
1	96	328	3000075
1	104	328	3000083
1	112	328	3000087
1	120	328	3000091
1	128	328	3000099
#enemy1
5	135	290	9200
5	170	225	9200
5	135	160	9200
#portal
100	40	16	3000099	64	100	2
#Background
20	0	484	4
